TransID,CustID,TransTotal,TransNumItems,TransDesc
1,171,503.66,12,Summer management environment million nation eye draw nor my shake technology foreign beyond.
2,246,1681.73,10,Responsibility heart money common reflect which say chance account reflect make present seem drop result pass room leader current organization could turn their can behind sure.
3,351,1336.61,8,As see especially drug pretty war alone without plant rich number when piece despite economy also tree recognize hotel including I method attention nor idea like summer beat their table better garden effort entire detail fact hospital high practice gun since through bring difficult stay throw reflect consumer affect spring training focus how clear measure become.
4,444,118.35,15,Building middle radio agree language federal reveal true recently base top what what within eat I write speech end bed long put many smile indicate address.
5,74,237.49,14,Which down large staff summer much assume second none animal social hot water more too event record fly product receive western if writer sell rock hope walk mission case great serve production half heavy analysis degree daughter play threat water.
6,350,1718.26,15,Wait rule professor song act sort major color fund available artist two these near a strong head before concern first look question these major easy son one source despite also quality fact wall board she after step even different toward federal car action remain voice.
7,381,914.97,11,Employee us why face situation claim sea run doctor change staff year what learn ball blood day scene.
8,281,99.68,2,Value would daughter different father interview together southern argue building wait deal teacher mission while partner structure author against street simple social consider example itself those our year moment resource soldier.
9,453,1082.64,9,Dark table guy eat beyond PM exactly be it so fire rule court maintain dog guy recently bag value must former next around gun of guy town off sort rate national total trouble beautiful ever type government yourself sort staff teach remember true sport.
10,420,247.1,14,While break pattern agreement style relationship building natural turn try daughter democratic run center window carry provide war weight food laugh only open sit produce today range try.
11,106,972.11,13,Opportunity smile under it discussion live ten true its religious knowledge watch against book if create staff one leave unit skin admit she mention.
12,181,1056.36,3,Answer so year long glass government environment sister put too view bank five long garden baby seat camera bed and light art a where.
13,143,1440.28,7,Career last challenge late bar friend us recent watch understand edge light one thousand able land smile administration reflect heavy film word try chance instead.
14,337,304.47,6,Together evening establish back might table try training of player rock pressure crime wind arrive avoid type administration fly maintain recently item write past later behavior play stay beat director bill movement billion system test prevent use scientist role future dinner alone.
15,237,1779.92,7,Without or money debate crime resource ok thousand entire executive player hair drop school under born interest Mr product animal really just step serious accept already design author painting according bed company best improve always already crime natural girl mention story risk.
